epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,739.604,2.06981,1.47887,1.21355,0.41391,0.14077,0.24446,0.12197,2.09759,1.5804,1.14514,6.205e-05,6.205e-05,6.205e-05
117,745.77,2.06541,1.49104,1.20752,0.41391,0.14077,0.24446,0.12197,2.09759,1.5804,1.14514,6.172e-05,6.172e-05,6.172e-05
118,752.231,2.07699,1.46306,1.20192,0.43035,0.14801,0.25668,0.12672,2.08698,1.57247,1.14335,6.139e-05,6.139e-05,6.139e-05
119,758.747,2.06703,1.45814,1.20174,0.43035,0.14801,0.25668,0.12672,2.08698,1.57247,1.14335,6.106e-05,6.106e-05,6.106e-05
120,765.202,2.08283,1.475,1.20271,0.43,0.14814,0.25661,0.12569,2.09154,1.5689,1.14483,6.073e-05,6.073e-05,6.073e-05
121,771.66,2.07824,1.44088,1.15891,0.43,0.14814,0.25661,0.12569,2.09154,1.5689,1.14483,6.04e-05,6.04e-05,6.04e-05
122,777.972,2.12258,1.49401,1.2128,0.43629,0.15309,0.26158,0.1281,2.09509,1.55955,1.14643,6.007e-05,6.007e-05,6.007e-05
123,784.505,2.08276,1.4452,1.16051,0.43629,0.15309,0.26158,0.1281,2.09509,1.55955,1.14643,5.974e-05,5.974e-05,5.974e-05
124,791.063,2.18285,1.5336,1.21499,0.43629,0.15309,0.26158,0.1281,2.09509,1.55955,1.14643,5.941e-05,5.941e-05,5.941e-05
125,797.515,2.07968,1.45854,1.20527,0.43702,0.15385,0.26262,0.12875,2.09328,1.54817,1.14522,5.908e-05,5.908e-05,5.908e-05
126,803.583,2.04142,1.43902,1.20915,0.43702,0.15385,0.26262,0.12875,2.09328,1.54817,1.14522,5.875e-05,5.875e-05,5.875e-05
127,809.973,2.09914,1.45979,1.19796,0.43379,0.14896,0.26037,0.12586,2.09616,1.55146,1.14744,5.842e-05,5.842e-05,5.842e-05
128,816.383,2.10049,1.4549,1.22191,0.43379,0.14896,0.26037,0.12586,2.09616,1.55146,1.14744,5.809e-05,5.809e-05,5.809e-05
129,822.598,2.07873,1.44586,1.23311,0.4336,0.14737,0.25895,0.12644,2.10077,1.55638,1.14762,5.776e-05,5.776e-05,5.776e-05
130,829.005,2.16224,1.48515,1.17065,0.4336,0.14737,0.25895,0.12644,2.10077,1.55638,1.14762,5.743e-05,5.743e-05,5.743e-05
131,835.354,2.03932,1.42073,1.17825,0.4336,0.14737,0.25895,0.12644,2.10077,1.55638,1.14762,5.71e-05,5.71e-05,5.71e-05
132,841.646,2.04279,1.41117,1.17962,0.43477,0.14482,0.25744,0.12519,2.11125,1.56587,1.15034,5.677e-05,5.677e-05,5.677e-05
133,848.081,2.05161,1.41896,1.185,0.43477,0.14482,0.25744,0.12519,2.11125,1.56587,1.15034,5.644e-05,5.644e-05,5.644e-05
134,854.657,2.07457,1.43137,1.18246,0.42942,0.14069,0.2517,0.12179,2.11947,1.57575,1.15344,5.611e-05,5.611e-05,5.611e-05
135,861.071,2.13923,1.47381,1.22042,0.42942,0.14069,0.2517,0.12179,2.11947,1.57575,1.15344,5.578e-05,5.578e-05,5.578e-05
136,867.255,2.02638,1.40625,1.20373,0.42661,0.14091,0.24919,0.12062,2.11599,1.58387,1.15125,5.545e-05,5.545e-05,5.545e-05
137,873.685,2.12568,1.46421,1.20287,0.42661,0.14091,0.24919,0.12062,2.11599,1.58387,1.15125,5.512e-05,5.512e-05,5.512e-05
138,880.049,2.05474,1.39795,1.15832,0.42193,0.14123,0.24775,0.12138,2.10933,1.57913,1.14848,5.479e-05,5.479e-05,5.479e-05
139,886.511,2.04127,1.43846,1.21939,0.42193,0.14123,0.24775,0.12138,2.10933,1.57913,1.14848,5.446e-05,5.446e-05,5.446e-05
140,892.884,2.07906,1.41332,1.15276,0.42193,0.14123,0.24775,0.12138,2.10933,1.57913,1.14848,5.413e-05,5.413e-05,5.413e-05
141,899.147,2.05304,1.4235,1.22225,0.41804,0.14049,0.24549,0.11987,2.10291,1.57503,1.14784,5.38e-05,5.38e-05,5.38e-05
142,905.41,2.0401,1.39763,1.17328,0.41804,0.14049,0.24549,0.11987,2.10291,1.57503,1.14784,5.347e-05,5.347e-05,5.347e-05
